iter	Passed	Remaining
339	1256	2439
340	1260	2435
341	1264	2432
342	1268	2428
343	1271	2424
344	1274	2420
345	1278	2416
346	1282	2412
347	1285	2408
348	1288	2404
349	1292	2401
350	1296	2397
351	1299	2393
352	1303	2389
353	1307	2385
354	1311	2382
355	1314	2378
356	1318	2374
357	1322	2371
358	1326	2368
359	1330	2364
360	1333	2360
361	1336	2356
362	1340	2352
363	1344	2349
364	1348	2346
365	1352	2342
366	1355	2338
367	1359	2334
368	1362	2330
369	1366	2326
370	1370	2323
371	1373	2319
372	1377	2315
373	1381	2311
374	1384	2307
375	1388	2304
376	1392	2301
377	1396	2297
378	1399	2293
379	1402	2289
380	1406	2285
381	1410	2281
382	1414	2278
383	1418	2275
384	1421	2271
385	1425	2267
386	1429	2263
387	1433	2260
388	1437	2257
389	1440	2253
390	1444	2249
391	1448	2246
392	1451	2242
393	1455	2238
394	1458	2233
395	1461	2229
396	1465	2225
397	1468	2221
398	1472	2217
399	1476	2214
400	1480	2211
401	1483	2207
402	1487	2203
403	1491	2200
404	1495	2196
405	1498	2193
406	1502	2189
407	1506	2186
408	1509	2181
409	1513	2177
410	1517	2174
411	1520	2170
412	1524	2166
413	1528	2163
414	1531	2158
415	1535	2155
416	1539	2152
417	1542	2148
418	1546	2144
419	1550	2140
420	1553	2136
421	1557	2132
422	1560	2129
423	1564	2125
424	1568	2121
425	1572	2118
426	1575	2114
427	1579	2111
428	1583	2107
429	1586	2103
430	1590	2099
431	1593	2095
